표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아	뜻풀이
씀벅씀벅	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	씀븍씀븍	씀븍씀븍	 	 	 	 	 	 	 	 	 	 	눈꺼풀을 움직이며 눈을 자꾸 감았다 떴다 하는 모양
씀벅씀벅하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	씀븍씀븍하다	씀븍씀븍하다	 	 	 	 	 	 	 	 	 	 	눈꺼풀을 움직이며 눈을 자꾸 감았다 떴다 하는 모양
씀씀이	[명사][방언]	NNG	00_00_00	 	 	 	 	씀씸이	씸씸이	손푸	손푸	 	 	 	 	씀쓰기	 	 	 	 	 	돈이나 물건 혹은 마음 따위를 쓰는 정도나 수량.
씁쓰레하다	[형용사][방언]	VA	00_00_00	씹씨레하다	 	쌉수리하다, 쌉쓰리하다	 	쌉쓰름하다, 씹쑤룸허다, 씹쓰름하다, 씹씨름하다	씹쓰름하다, 씹씨름하다	 	 	씁스롱하다, 쓰우롱하다, 씁쓰롱하다, 씨우룽하다	 	씁스근하다	 	 	 	 	 	 	 	조금 쓴 맛이 나는 듯하다.
씁쓰름하다	[형용사][방언]	VA	00_00_00	씁씨룸하다, 씹씨룸하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	조금 쓴 맛이 나는 듯하다.
씁쓸하다	[형용사][방언]	VA	00_00_00	 	 	 	씹씰하다	 	 	 	 	씁지랑하다	 	 	 	 	 	 	 	 	 	조금 쓴 맛이 나다.
씌다	[동사][방언]	VV	00_00_00	 	 	 	 	써데다	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
씌우다	[동사][방언]	VV	00_00_00	씨쿠다	 	 	 	쒸다	 	쎄우다	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
씨감자	[명사][방언]	NNG	00_00_00	씨감재	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	씨앗으로 쓸 감자.
씨굿	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	씻구뎅이, 씻굿	 	 	 	 	 	 	 	 	 	씨를 두는 구덩이.
씨닭	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	씻독, 씻닥	 	 	 	 	 	 	 	 	 	씨를 받기 위하여 기르는 닭.
씨도리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	제지나물, 지지나물	 	 	 	 	 	 	 	 	 	씨앗을 받으려고 남겨 둔 배추
씨돼지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	씨돝	씨돝	 	 	종짓돼지	 	 	 	 	 	 	 	씨를 받으려고 기르는 돼지.
씨름	[명사][방언]	NNG	00_00_00	 	 	 	실굼	 	 	 	 	씨롬	 	씨림	 	 	 	 	 	 	 	두 사람이 샅바를 잡고 힘과 재주를 부리어 먼저 넘어뜨리는 것으로 승부를 겨루는 우리 고유의 운동
씨름꾼	[명사][방언]	NNG	00_00_00	 	 	 	 	씨림꾼	씨림꾼	 	 	 	 	 	 	 	 	 	 	 	 	씨름을 잘하는 사람.
씨름판	[명사][방언]	NNG	00_00_00	 	 	 	 	씨림판	씨림판	 	 	 	 	 	 	 	 	 	 	 	 	씨름을 하는 자리.
씨망태	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	부게기	 	 	 	 	 	 	 	 	 	씨를 뿌릴 때에 씨앗을 담는 망태.
씨무룩하다	[형용사][방언]	VA	00_00_00	씨뚜룩하다, 씨뚜름하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	마음에 못마땅하여 말이 없고 얼굴에 언짢은 기색이 있다
씨부렁거리다	[동사][방언]	VV	00_00_00	씨버렁거리다, 씨벌렁거리다, 씨불렁거리다	 	 	 	씨붕거리다	씨붕거리다	씨월거리다	씨월거리다	주주싸다	 	 	 	 	 	 	 	 	 	주책없이 쓸데없는 말을 함부로 자꾸 지껄이다
씨불거리다	[동사][방언]	VV	00_00_00	씨벌럭거리다	 	 	 	쌔왈거리다, 씨월거리다	쌔왈거리다, 씨월거리다	 	 	 	 	 	 	 	 	 	 	 	 	주책없이 함부로 자꾸 실없는 말을 하다.
씨불대다	[동사][방언]	VV	00_00_00	 	 	 	 	씨월대다	씨월대다	 	 	 	 	 	 	 	 	 	 	 	 	주책없이 함부로 자꾸 실없는 말을 하다.
씨불이다	[동사][방언]	VV	00_00_00	 	 	 	 	쌔왈이다	쌔왈이다, 씨올이다, 씨월이다	 	 	 	 	 	 	 	 	 	 	 	 	주책없이 함부로 실없는 말을 하다.
씨식잖다	[형용사][방언]	VA	00_00_00	 	 	식잖다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	같잖고 되잖다.
씨아	[명사][방언]	NNG	00_00_00	목화틀, 쉐시, 쌔, 쎄기, 쐐, 쇄아기, 씨애	쐬, 목화쒜기, 쌰, 쎄이	새이기, 세에기, 쌔기, 쌔아기, 쐬기, 씨애기, 목새기, 시아기, 쌔래기, 쌔아시, 쌔이, 쒸아시	쌔기, 쒜기, 씨애기, 쉐기, 쐐씨, 씨기, 씨아기	쌔이, 씨아시	씨가시, 쐐시, 씨아시, 씨웨시	씨애시	쌔기, 쐐시, 쒸아시, 씨애	무으레, 보르는물레, 멘네틀, 바르는물레, 씨아시무르레	토리개	씽애, 토리개	타리개, 따리개	 	쉐, 쎄기, 쒸아	 	 	 	 	목화의 씨를 빼는 기구
씨아손	[명사][방언]	NNG	00_00_00	 	 	 	짭주제	 	 	 	 	물렛자롯	 	 	 	 	 	 	 	 	 	씨아의 손잡이.
씨알머리	[명사][방언]	NNG	00_00_00	씨가리, 씨갈머리	 	 	 	씨알탱이	씨알탱이	 	 	 	 	 	 	 	 	 	 	 	 	남의 혈통을 속되게 이르는 말.
씨암탉	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	씨암탁	 	종지닭	종지닭, 조지닭	종지닭	 	 	 	 	 	씨를 받기 위하여 기르는 암탉.
씨암퇘지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	피게	 	 	 	 	 	씨를 받기 위하여 기르는 암퇘지.
씨앗	[명사][방언]	NNG	00_00_00	씨갑시, 씨갓, 쇄아기	 	씨갑시, 씨갓	씨갑, 씨갑시	씨갓	 	 	씨갑시	 	 	씨갓	씨갓	씨갓	 	 	 	 	 	곡식이나 채소 따위의 씨.
씨앗귀	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	씨아싯귀, 무르렛귀, 물렛귀	 	 	 	 	 	 	 	 	 	씨아에서 톱니바퀴 구실을 하는 위아래 두 가락의 끝 부분
씨양이질	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	찡앙이질, 씨앙이질	 	 	 	 	 	 	 	 	 	한창 바쁠 때에 쓸데없는 일로 남을 귀찮게 구는 짓.
씨억씨억하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	 	 	시억시억하다	 	 	 	 	 	 	 	성질이 굳세고 활발한 모양.
씨우적씨우적하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	망망거리다	 	 	 	 	 	 	 	 	 	마음에 못마땅하여 입속으로 자꾸 불평스럽게 말하는 모양
-씩	[접사][방언]	XSN	03_00_00	 	썩	썩	썩	썩	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
씰룩거리다	[동사][방언]	VV	00_00_00	씰루덕거리다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	근육의 한 부분이 자꾸 실그러지게 움직이다
씰룩씰룩	[부사][방언]	MAG	00_00_00	씰루덕씰루덕	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	근육의 한 부분이 자꾸 실그러지게 움직이는 모양
씹다	[동사][방언]	VV	01_00_01	 	 	 	 	 	 	 	 	너을다	 	 	 	 	 	 	 	 	 	사람이나 동물이 음식 따위를 입에 넣고 윗니와 아랫니를 움직여 잘게 자르거나 부드럽게 갈다
씹히다	[동사][방언]	VV	00_00_00	 	 	 	씹헤다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
씻기다	[동사][방언]	VV	00_00_00	씻키다	씻키다	 	씪에다, 씪에다, 씻게다	싳기다	 	찣기다	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
씻김굿	[명사][방언]	NNG	00_00_00	 	 	 	 	곽거리, 곽머리굿, 시꼉굿, 싯겜굿, 씨께이굿, 씨끔, 씨끔굿, 씻겜굿	곽거리, 곽머리굿, 시꼉굿, 싯겜굿, 씨께이굿, 씨끔, 씨끔굿	 	 	 	 	 	 	 	 	 	 	 	 	죽은 이의 영혼을 깨끗이 씻어 주어 이승에서 맺힌 원한을 풀고 극락왕생하기를 비는 굿
씻다	[동사][방언]	VV	00_00_00	씻그다	슷다, 씃다	싞다, 씩다, 씪다	 	시끄다, 시치다, 시추다, 씃다, 씨끄다, 씨치다	시치다, 씨치다	싳다, 찣다	앃다	시스다	 	 	 	씃다	 	 	 	 	 	물이나 휴지 따위로 때나 더러운 것을 없게 하다.
아가리	[명사][방언]	NNG	00_00_00	아갈통	 	아감지, 아구, 아구지	아가빠리, 아감지, 아구, 아구지, 아구투이, 아구팅이, 악빠리, 아구빠리, 입아가리	아가지, 아구지, 아굴태기, 아갈채이, 아겡이, 아고지, 아구딱, 아구탱이, 아구통, 아굴채기, 아굴채이, 아그딱, 입아가리	아구탱이	아가지	 	 	아지가리, 악젱이	악제기, 악퉁이	당내기, 덕뭉이, 덕슁이, 악제기	덕뭉이, 덕슁이, 아우리, 악쉬	 	 	 	 	 	'입'을 속되게 이르는 말.
아가리질	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	아구리질	 	 	 	 	 	 	 	 	 	'말질02'을 속되게 이르는 말.
아가리질	[명사][방언]	NNG	00_00_01	 	 	 	 	 	 	 	 	굴레질	 	 	 	 	 	 	 	 	 	'말질02'을 속되게 이르는 말.
아가미	[명사][방언]	NNG	00_00_00	아감지, 써거리, 아개미, 아그빠리, 아금지	아감지, 구세미, 구주래미, 귀섬지, 벌터가니, 벌터구니, 아개미, 아굼, 아그미	아감지, 아굼지, 알개미, 날가미, 날감치, 순태, 아개미, 아검지, 아굼바데, 알감지, 알가미	수군티, 순태, 순태기, 숨테기, 아감바지	아감지, 구섀미, 구섬치, 구성뎅이, 구세미, 구시래미, 구시런땡이, 구시렁탱이, 구시렁뗑이, 귀성댕이, 귀성탱이, 귀세미, 아감치, 아개미, 아골뎅이, 아골텡이, 아굴텡이, 아그미, 아올가지, 알감지, 알가미, 알감치	구세미, 구시렁탱이, 아갈치, 아개미, 아골뎅이, 알감지, 인나부리	야관주, 구세미, 아개미, 아그미, 아기미	괴기이리, 아구미, 아그미	구셍이, 어우생이, 아구셍이, 아오셍이, 아우셍이, 알가미, 어우셍이	구내지	구내지, 기지내, 아금지	수메, 아굼치, 자가미, 서부치, 아금지, 지내미	수메, 아개미, 저꼬리, 저꿰리	귀설미, 구설미, 구시미, 국시미	저꼬리, 저꿰리	구내지, 기지내, 아금지	서부치, 지내미	 	물속에서 사는 동물, 특히 어류에 발달한 호흡 기관
아가미덮개	[명사][방언]	NNG	00_00_00	서거리, 써개비	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	경골어류의 머리 양쪽에 있어 아가미를 덮어 보호하고 물이 드나들게 하는 넓적한 뼈로 된 뚜껑
아가씨	[명사][방언]	NNG	00_00_00	 	 	애씨, 아기야, 처니야	애기시, 액시	 	 	아가이	 	 	 	 	 	 	 	 	 	액시	 	시집갈 나이의 여자를 이르는 말.
아가위	[명사][방언]	NNG	00_00_00	아가우, 열구	 	아가배, 아가우, 아구	아가바, 아가배, 아가우, 아구	 	 	아가배, 아고배	아가배, 아고배	 	 	 	아가우, 열귀	열구밥, 열귀, 오매지	찔광이매제, 찔래	 	 	 	 	산사나무의 열매
아가위나무	[명사][방언]	NNG	00_00_00	 	아개나무	 	 	 	 	 	 	 	 	띨광나무	 	 	 	 	 	 	 	장미과의 낙엽 활엽 교목
아갈잡이	[명사][방언]	NNG	00_00_00	아갈잽이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	소리를 지르지 못하도록 입을 헝겊이나 솜 따위로 틀어막는 짓
아감딱지	[명사][방언]	NNG	00_00_00	구시레미, 서버리, 저버리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	경골어류의 머리 양쪽에 있어 아가미를 덮어 보호하고 물이 드나들게 하는 넓적한 뼈로 된 뚜껑
아감젓	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	아우셍이젓, 알가미젓, 아구셍이젓, 알가미젯, 알개미젓, 알개미젯	 	 	 	 	 	 	 	 	 	생선의 아가미와 이리로 담근 젓.
아교풀	[명사][방언]	NNG	00_00_00	 	 	 	 	부래풀	 	 	 	 	 	 	 	 	 	 	 	 	 	짐승의 가죽, 힘줄, 뼈 따위를 진하게 고아서 굳힌 끈끈한 것
아궁이	[명사][방언]	NNG	00_00_00	벅아구리, 벅앙지, 복앙지, 붝앙지, 버강지, 벅아구니, 벅아궁지, 벆, 벜, 부강지, 붝고래, 아국쟁이	벙갱이, 보강지, 아구녁, 고래구먹, 부강지, 아공지, 아국쟁이, 아귕이	부삽, 부석, 부석아가리, 부섭, 부섴, 부숰, 부적, 부직, 부석아구지, 부억아리, 부적아구리, 부젘	부삽, 부석, 부석아가리, 부섴, 부스깨, 부적, 부직, 불아가리, 벜아가리, 부석아구리, 부석아궁지, 부섞, 부억아궁이, 부억아리, 불아구리, 아구래이, 아구이	부삭, 부삽, 부샄, 부석, 부석짝, 부섭, 부샆, 부삮, 부삽짝, 부서깨, 부석막, 부섭짝, 부숙짝, 부억짝, 부컥	부석, 벅짝, 부섭짝, 부억게, 부적짝, 불구먹, 붝, 붝짝	구락쟁이, 벙거래, 벜거래, 부섴, 부억아구리, 부억작, 부엌아감지, 고래구녁, 고래구녘, 고래구멍, 고쿠랑, 구락장이, 구락젱이, 부락쟁이, 부억게, 부억고래, 부억아감지, 부억아궁지, 부억암지, 붝아궁이, 붝짝, 아궁에, 아귕이	고쿠락, 벙거래, 벜거래, 보강지, 부섴, 부엌아감지, 고래구녁, 고래아궁이, 고래아귕이, 고랫구녁, 고크락, 구락장이, 버강지, 버꺼래, 벅고래, 보강이, 보갱이, 부억아가리, 부억아감지, 부억아궁지, 부억아리, 부억암지, 붝, 붝고래, 뽀강지, 아구니, 아귕이, 아오리, 어궁이	봉덕화리, 불어귀, 굴묵어귀, 솟강알	벅아가리, 볔악지, 베악채기, 벡아구리, 벡아귀, 벡악, 벡악재기, 벡악채기, 벡악챙이, 벡악치기, 부적아구리, 아국쟁이	베가구리, 베각재기, 베악치가리, 벡악치가리, 벽아구리, 벽악지, 볔악지, 조돌아구리, 조돌악재기, 버꺼래, 베악채기, 벡아가리, 벡아구리, 벡아궁지, 벡악재기, 벡악채기, 벡악챙이, 벡악치리, 벽아꾸리, 벽악재기, 뻬아궁이, 뻬악재기	버깨, 벆, 베여깨, 벡아구이, 벡악, 벽아가리, 벽아궁이, 부서깨, 부억게, 붝아구리, 붸깨아구리, 비여깨	부서깨, 부수깨아가리, 부수깨아구리, 부스께아굴, 부시깨, 부시깨아구지, 부억게, 비여깨	아구녁, 아국쟁이	부수깨아가리, 부수깨아구리, 부시깨아구지	베악채기	부석아구리	 	방이나 솥 따위에 불을 때기 위하여 만든 구멍.
아귀	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	아개	아개	마굴치, 아오셍이, 아우셍이	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
아귀	[명사][방언]	NNG	02_00_00	 	 	물꿩	 	 	 	 	 	 	 	 	망청어	망청어	 	 	 	 	 	아귓과의 바닷물고기
아귀다툼	[명사][방언]	NNG	00_00_00	아구다툼, 아구도툼	 	 	 	 	 	 	 	아귀싸움, 아구다툼	 	 	 	 	 	 	 	 	 	각자 자기의 욕심을 채우고자 서로 헐뜯고 기를 쓰며 다투는 일
아귀다툼하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	아가리싸움하다, 아구다투다, 아구다툼하다, 아구리싸움하다, 아귀다투다	 	 	 	 	 	 	 	 	 	각자 자기의 욕심을 채우고자 서로 헐뜯고 기를 쓰며 다투는 일
아귀매운탕	[명사][방언]	NNG	00_00_00	 	 	아구탕, 아쿠탕	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	아귀를 토막 쳐서 콩나물을 넣고 맵게 끓인 찌개.
아귀세다	[형용사][방언]	VA	00_00_00	아구빡시다, 아구씨다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	마음이 굳세어 남에게 잘 꺾이지 아니하다.
아귀찜	[명사][방언]	NNG	00_00_00	 	 	아꾸찜	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	아귀를 콩나물, 미나리, 미더덕 따위의 재료와 함께 갖은 양념을 하고 고춧가루와 녹말풀을 넣어 걸쭉하게 찐 음식
아귀차다	[형용사][방언]	VA	00_00_00	 	 	 	 	아구차다	아구차다	 	 	 	 	 	 	 	 	 	 	 	 	휘어잡기 어려울 만큼 벅차다.
아귀힘	[명사][방언]	NNG	00_00_00	 	 	 	아굿심	 	아구심, 아굿심	 	 	 	 	 	 	 	 	 	 	 	 	손아귀에 잡아 쥐는 힘.
아그배	[명사][방언]	NNG	00_00_00	아광, 애광	나두밤, 나두배, 아가오, 아개배, 와괘	까시열매, 깐치밥, 딸랑까시, 땅까시열매, 아거배, 찔구배	질배, 찔구배	돗배, 아그베, 찔배, 폿배	아거배, 찔배	아개배, 아거배, 아기배	팥배	 	뜰과이, 띨과이, 띨광이	뜰과이, 띨과이, 띨광이	 	찔구배, 찡구배	 	찔배, 찔구배, 찡구배	뜰과이, 띨과이, 띨광이	찔구배	 	아그배나무의 열매
아그배	[명사][방언]	NNG	00_00_01	열구	 	 	아가배, 아가우, 아기외, 알가부, 에기것	 	 	아가배	 	 	 	 	 	딜구배	 	 	 	 	 	아그배나무의 열매
아금받다	[형용사][방언]	VA	00_00_00	 	 	아금바리다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	야무지고 다부지다.
아기	[명사][방언]	NNG	00_00_00	 	 	앨라, 어른아, 어른애, 어린아	 	 	 	 	 	 	 	 	어린아	어린아	 	 	 	 	 	미존재 뜻풀이
아기구덕	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	아의구덕, 애기구덕	 	 	 	 	 	 	 	 	 	제주도에서 아기를 재울 때 쓰는 바구니.
아기단풍	[명사][방언]	NNG	00_00_00	 	 	애기단풍	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	단풍나뭇과의 낙엽 교목
아기동지	[명사][방언]	NNG	00_00_00	 	 	애기동지	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	음력 11월 10일이 채 못 되어 드는 동지.
아기씨	[명사][방언]	NNG	00_00_00	애기씨	애기씨	 	 	애기씨	애기씨	애기씨	애기씨	 	 	 	애기씨	애기네	 	애기씨	 	 	 	미존재 뜻풀이
아기작아기작	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	아글락아글락, 아기아기작, 앙그작앙그작, 앙으작앙으작	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
아기작아기작	[부사][방언]	MAG	01_00_00	 	 	 	 	 	 	 	 	악작악작	 	 	 	 	 	 	 	 	 	작은 몸집으로 팔다리를 부자연스럽게 움직이며 천천히 걷는 모양
아기집	[명사][방언]	NNG	00_00_00	 	 	애기집	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	'자궁01(子宮)'을 일상적으로 이르는 말.
아까	[명사][방언]	NNG	00_00_00	아깨, 아깨, 아께, 아께, 아끄매, 아끄매	 	아까지, 아까지, 아까징이, 아까징이	아까지, 아까지, 아까정에	아까재, 아까재, 아까지, 아까지, 아까참, 아까참, 아까칙, 아까칙, 아까침, 아까침, 아까막새, 아까막새, 아까막시, 아까막시, 아까정께, 아까정께	아까지, 아까지, 아까막새, 아까막새, 아까막시, 아까막시, 아까정께, 아까정께	 	 	가싸, 가싸, 가쎄, 가쎄	아까지, 아까지	아까지, 아까지	아깨, 아깨, 아께, 아께	아깨, 아깨, 아께, 아께	 	아까재, 아까재, 아까지, 아까지, 아께, 아께	아까지, 아까지	아까지, 아까지, 아께, 아께	 	조금 전.
아까시나무	[명사][방언]	NNG	00_00_00	 	 	애까시나무	 	 	 	 	 	아까시낭	 	 	 	 	 	 	 	 	 	콩과의 낙엽 교목
아까워하다	[동사][방언]	VV	00_00_00	아꺼워하다, 아꾸워하다	 	 	 	아까허다	 	 	 	 	 	 	 	 	 	 	 	 	 	아깝게 생각하다.
아깝다	[형용사][방언]	VA	00_00_00	아껍다, 아꿉다	 	아껍다	 	애덜부다, 에드룹다, 에듭다	 	 	 	아스릅다	 	 	애하다	 	 	 	 	 	 	소중히 여기는 것을 잃어 섭섭하거나 서운한 느낌이 있다
아끼다	[동사][방언]	VV	00_00_00	애깨애깨하다, 애끼다	 	애끼다	애끼다	애끼다	 	애끼다	애끼다	애끼다	애끼다	애끼다	마지다, 애끼다	애끼다	애끼다	 	 	 	 	물건이나 돈, 시간 따위를 함부로 쓰지 아니하다.
아낌없다	[형용사][방언]	VA	00_00_00	 	 	애낌엄따	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	주거나 쓰는 데 아까워하는 마음이 없다.
아낌없이	[부사][방언]	MAG	00_00_00	 	 	애낌엄시	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	주거나 쓰는 데 아까워하는 마음이 없다.
아나	[감탄사][방언]	IC	00_00_00	 	 	에나	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
아낙군수	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	고망귀	 	 	 	 	 	 	 	 	 	늘 집 안에만 있는 사람을 놀림조로 이르는 말.
아낙네	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	내댕, 에미네	내댕, 내뎡, 낸들, 에미네, 내덩, 낸덜, 이미네	안까이, 안깐, 에미네, 엠네, 녀인네, 안까니, 이미네	안까이, 안깐, 에미네, 엠네, 안간, 안깐네, 엔네	 	 	 	 	 	남의 집 부녀자를 통속적으로 이르는 말.
아내	[명사][방언]	NNG	00_00_00	안소설	 	밥재이, 집엣사람	아느로, 안떼이	 	 	 	 	 	낸	낸, 넨	안깐이, 이미네	안간, 안깐이	 	안깐이	 	 	 	미존재 뜻풀이
아내	[명사][방언]	NNG	01_00_00	 	 	 	밑바탕, 안소실	 	 	 	 	 	에미니	안헤	 	 	 	 	 	 	 	혼인하여 남자의 짝이 된 여자.
아녀자	[명사][방언]	NNG	00_00_00	아네자	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	'여자02'를 낮잡아 이르는 말.
아늑하다	[형용사][방언]	VA	00_00_00	 	 	 	 	아녹하다	 	그앙없다	그앙없다	아노록하다, 아녹하다, 아도록하다	 	 	 	 	 	 	 	 	 	포근하게 감싸 안기듯 편안하고 조용한 느낌이 있다.
아니	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	으어	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
아니	[부사][방언]	MAG	01_00_00	 	 	앤, 앵	앤, 앵	 	 	 	 	 	 	 	 	 	 	 	 	 	 	부정이나 반대의 뜻을 나타내는 말.
아니꼽다	[형용사][방언]	VA	00_00_00	아니꿉다	 	앵꼽다, 아히꼽다, 애이꼽다, 이니꼽다	애꼽다, 아이꼽다, 아히꼽다, 애이꼽다	띠꼽다	 	내꼽다	 	아니꼽상스럽다	얘시껍다	야시껍다, 얘시껍다, 야시꼽다	아이꼽다, 앙이꼽다, 앵이꼽다	안꼽다	 	안꼽다	야시꼽다	아이꼽다	 	비위가 뒤집혀 구역날 듯하다.
아니다	[형용사][방언]	VA	00_00_00	 	 	아이다, 앙이다	앙이다, 애니다	 	 	 	 	 	 	 	아이다, 애이다	아이다, 애이다	 	 	 	 	 	어떤 사실을 부정하는 뜻을 나타내는 말.
아니야	[감탄사][방언]	IC	00_00_00	아이야	 	아이야	아이야, 아이따	 	 	 	 	 	 	 	 	 	 	 	 	 	 	아랫사람이나 대등한 관계에 있는 사람이 묻는 말에 부정하여 대답할 때 쓰는 말
아니하다	[형용사][보조][방언]	VX	00_00_00	 	 	 	 	 	 	 	 	아녀다, 아녀다	 	 	 	 	 	 	 	 	 	'않다'의 본말.
아둔패기	[명사][방언]	NNG	00_00_00	아둔쳉이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	아둔한 사람을 낮잡아 이르는 말.
아둔하다	[형용사][방언]	VA	00_00_00	 	 	 	아지방하다	 	 	 	 	 	맨하다	맨하다	 	 	 	 	 	 	 	슬기롭지 못하고 머리가 둔하다.
아드등아드등하다	[동사][방언]	VV	00_00_00	 	 	 	 	아그덩아그덩허다	 	 	 	 	 	 	 	 	 	 	 	 	 	서로 제 생각만 고집하여 양보하지 않고 자꾸 다투는 모양
아득하다	[형용사][방언]	VA	00_00_00	 	 	 	까믈하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	보이는 것이나 들리는 것이 희미하고 매우 멀다.
아들	[명사][방언]	NNG	00_00_00	아덜	 	나매, 아달, 아덜, 아델	아덜, 아델	아덜	아덜	 	 	아덜	 	 	 	 	 	아덜	 	아덜, 아델	 	남자로 태어난 자식.
아들내미	[명사][방언]	NNG	00_00_00	아덜내미, 아덜니미	 	아덜내미	아덜내미	아덜내미	 	 	 	 	 	 	 	 	 	 	 	 	 	‘아들’을 귀엽게 이르는 말.
아들놈	[명사][방언]	NNG	00_00_00	아덜눔, 아덜늠	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	자기의 아들이나 남의 아들을 낮추어 이르는 말.
아들마늘	[명사][방언]	NNG	00_00_00	아덜마날, 아덜마눌, 쫑마날, 쫑마눌	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	마늘종 끝에 생기는 작은 마늘.
아들자식	[명사][방언]	NNG	00_00_00	아덜자석, 아덜자슥, 아덜내미자석, 아덜내미자슥, 아덜니미자석, 아들니미자슥	 	 	 	아들자석	 	 	 	 	 	 	 	 	 	 	 	 	 	남에게 자기 아들을 이르는 말.
아등바등	[부사][방언]	MAG	00_00_00	 	 	 	앙정불정	아둥바둥	 	 	 	 	 	 	 	 	 	 	 	 	 	무엇을 이루려고 애를 쓰거나 우겨 대는 모양.
아등바등하다	[동사][방언]	VV	00_00_00	아둥바둥하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	무엇을 이루려고 애를 쓰거나 우겨 대는 모양.
아따	[감탄사][방언]	IC	00_00_00	와따	 	 	 	아따메, 와따메, 워따, 워따메	 	 	 	애따, 애따가라	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
아뜩하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	가메뜩하다, 아마뜩하다, 아메뜩하다, 헤뜩하다, 히여뜩하다	 	 	 	 	 	 	 	 	 	갑자기 어지러워 정신을 잃고 까무러칠 듯하다.
아람	[명사][방언]	NNG	00_00_00	차리기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
아람	[명사][방언]	NNG	01_00_00	아레기	 	알빰	 	 	 	 	 	켄밤	 	 	 	 	 	 	 	 	 	밤이나 상수리 따위가 충분히 익어 저절로 떨어질 정도가 된 상태
아랑	[명사][방언]	NNG	00_00_00	 	 	 	 	아랑구	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
